conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
12,5d482eab21c9be351f763fde,124,701,5,17,"['5e9f0ac09dc0406f898749a1' '5d482eab21c9be351f7640b5'
 '5d482eab21c9be351f763f55' '5e9f0ac09dc0406f898749a2'
 '5e9de5509dc0406f89872263' '5d482eab21c9be351f7640bf']"
12,5e9f0ac09dc0406f898749a2,84,463,5,15,"['5e9f0ac09dc0406f898749a1' '5d482eab21c9be351f7640b5'
 '5d482eab21c9be351f763f55' '5d482eab21c9be351f763fde'
 '5e9de5509dc0406f89872263' '5d482eab21c9be351f7640bf']"
12,5e9de5509dc0406f89872263,84,438,4,12,"['5e9f0ac09dc0406f898749a1' '5d482eab21c9be351f7640b5'
 '5d482eab21c9be351f763f55' '5d482eab21c9be351f763fde'
 '5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f7640bf']"
12,5d482eab21c9be351f7640bf,51,263,4,8,"['5e9f0ac09dc0406f898749a1' '5d482eab21c9be351f7640b5'
 '5d482eab21c9be351f763f55' '5d482eab21c9be351f763fde'
 '5e9f0ac09dc0406f898749a2' '5e9de5509dc0406f89872263']"
13,5e9f0ac09dc0406f898749a2,57,307,4,6,"['5d482eab21c9be351f763f55' '5d482eab21c9be351f763fde'
 '5d482eab21c9be351f7640bf' '5d482eab21c9be351f7640b5'
 '5e9de5509dc0406f89872263' '5e9f0ac09dc0406f898749a1']"
13,5d482eab21c9be351f763f55,54,278,3,4,"['5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f763fde'
 '5d482eab21c9be351f7640bf' '5d482eab21c9be351f7640b5'
 '5e9de5509dc0406f89872263' '5e9f0ac09dc0406f898749a1']"
13,5d482eab21c9be351f763fde,87,460,4,6,"['5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f7640bf' '5d482eab21c9be351f7640b5'
 '5e9de5509dc0406f89872263' '5e9f0ac09dc0406f898749a1']"
13,5d482eab21c9be351f7640bf,63,305,5,6,"['5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f763fde' '5d482eab21c9be351f7640b5'
 '5e9de5509dc0406f89872263' '5e9f0ac09dc0406f898749a1']"
13,5d482eab21c9be351f7640b5,44,217,2,5,"['5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f763fde' '5d482eab21c9be351f7640bf'
 '5e9de5509dc0406f89872263' '5e9f0ac09dc0406f898749a1']"
13,5e9de5509dc0406f89872263,26,150,3,0,"['5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f763fde' '5d482eab21c9be351f7640bf'
 '5d482eab21c9be351f7640b5' '5e9f0ac09dc0406f898749a1']"
13,5e9f0ac09dc0406f898749a1,77,395,5,5,"['5e9f0ac09dc0406f898749a2' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f763fde' '5d482eab21c9be351f7640bf'
 '5d482eab21c9be351f7640b5' '5e9de5509dc0406f89872263']"
14,5e543e5ad1db96705ff13ef0,93,501,12,4,"['5e877e32a44a3116d9b95ef1' '5e9de8489dc0406f898722ef'
 '5e9decf89dc0406f89872747' '5e9dea1e9dc0406f89872527'
 '5e9deb229dc0406f898725e9' '5d482eab21c9be351f76412c']"
14,5e877e32a44a3116d9b95ef1,150,772,13,12,"['5e543e5ad1db96705ff13ef0' '5e9de8489dc0406f898722ef'
 '5e9decf89dc0406f89872747' '5e9dea1e9dc0406f89872527'
 '5e9deb229dc0406f898725e9' '5d482eab21c9be351f76412c']"
14,5e9de8489dc0406f898722ef,110,529,8,13,"['5e543e5ad1db96705ff13ef0' '5e877e32a44a3116d9b95ef1'
 '5e9decf89dc0406f89872747' '5e9dea1e9dc0406f89872527'
 '5e9deb229dc0406f898725e9' '5d482eab21c9be351f76412c']"
14,5e9decf89dc0406f89872747,143,756,8,11,"['5e543e5ad1db96705ff13ef0' '5e877e32a44a3116d9b95ef1'
 '5e9de8489dc0406f898722ef' '5e9dea1e9dc0406f89872527'
 '5e9deb229dc0406f898725e9' '5d482eab21c9be351f76412c']"
