conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
26vD44sevaT2b8Ppc,8crAngrR5aQfGWJwF,4,16,1,2,"['hbAMMYnnPo9zjBWh2' 'hL9FpgfJryv4BThtn' 'AndABvRJbK4my2JN9'
 'WoJMFXmqBKuPGsu5L' 'dgJypxgDSp2ja9Z4g']"
26vD44sevaT2b8Ppc,AndABvRJbK4my2JN9,2,7,1,0,"['hbAMMYnnPo9zjBWh2' 'hL9FpgfJryv4BThtn' '8crAngrR5aQfGWJwF'
 'WoJMFXmqBKuPGsu5L' 'dgJypxgDSp2ja9Z4g']"
26vD44sevaT2b8Ppc,WoJMFXmqBKuPGsu5L,13,77,1,0,"['hbAMMYnnPo9zjBWh2' 'hL9FpgfJryv4BThtn' '8crAngrR5aQfGWJwF'
 'AndABvRJbK4my2JN9' 'dgJypxgDSp2ja9Z4g']"
26vD44sevaT2b8Ppc,dgJypxgDSp2ja9Z4g,3,9,1,0,"['hbAMMYnnPo9zjBWh2' 'hL9FpgfJryv4BThtn' '8crAngrR5aQfGWJwF'
 'AndABvRJbK4my2JN9' 'WoJMFXmqBKuPGsu5L']"
hokEKAC7CASuB3FeP,fQdr7ddWmNyrinQPs,47,228,6,3,['kpdg7m9fotK5q4pWE' '7wrxWNExmMpMiefNS']
hokEKAC7CASuB3FeP,kpdg7m9fotK5q4pWE,22,110,4,1,['fQdr7ddWmNyrinQPs' '7wrxWNExmMpMiefNS']
hokEKAC7CASuB3FeP,7wrxWNExmMpMiefNS,11,44,4,0,['fQdr7ddWmNyrinQPs' 'kpdg7m9fotK5q4pWE']
sn37n9NiaQMmczd95,sZ3JusCm8ckBv7C5B,59,274,5,3,['HTEpfm7s8gN2dMjCJ']
sn37n9NiaQMmczd95,HTEpfm7s8gN2dMjCJ,54,257,6,0,['sZ3JusCm8ckBv7C5B']
66FK2bhBcq8ih883y,gEaESFzfTNuosjLkR,7,31,2,0,['kBHuKLCie7fo94Xwi']
66FK2bhBcq8ih883y,kBHuKLCie7fo94Xwi,2,9,2,0,['gEaESFzfTNuosjLkR']
hEqbiytTuLQW35JD8,P4hxL74vTMDGxa98c,4,20,1,0,[]
SyNxp3JjGnHzP5nuT,5YfPcJNP5p89smrRr,16,79,5,0,['6TNR2f84KfzANXpqS']
SyNxp3JjGnHzP5nuT,6TNR2f84KfzANXpqS,12,58,4,0,['5YfPcJNP5p89smrRr']
pxisBhBq3MZApDrYK,NULL_SPEAKER,1,3,1,0,[]
MCJpZhMZje6AraJNE,u8Cp7vQsggGizTnLg,27,116,8,0,"['MoeRwqNCsFZNsWJ4h' 'yCSKkMDoDLcMWTn8J' 'rEwkb4GtWd7X3Wz6i'
 '2wafkdLNrN7qhCDHa' 'dWmTFRYnrLP3HWo3x' 'hi57MZzYhWiFd8dwm'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,MoeRwqNCsFZNsWJ4h,40,205,11,3,"['u8Cp7vQsggGizTnLg' 'yCSKkMDoDLcMWTn8J' 'rEwkb4GtWd7X3Wz6i'
 '2wafkdLNrN7qhCDHa' 'dWmTFRYnrLP3HWo3x' 'hi57MZzYhWiFd8dwm'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,yCSKkMDoDLcMWTn8J,1,5,1,0,"['u8Cp7vQsggGizTnLg' 'MoeRwqNCsFZNsWJ4h' 'rEwkb4GtWd7X3Wz6i'
 '2wafkdLNrN7qhCDHa' 'dWmTFRYnrLP3HWo3x' 'hi57MZzYhWiFd8dwm'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,rEwkb4GtWd7X3Wz6i,10,40,3,0,"['u8Cp7vQsggGizTnLg' 'MoeRwqNCsFZNsWJ4h' 'yCSKkMDoDLcMWTn8J'
 '2wafkdLNrN7qhCDHa' 'dWmTFRYnrLP3HWo3x' 'hi57MZzYhWiFd8dwm'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,2wafkdLNrN7qhCDHa,10,47,3,0,"['u8Cp7vQsggGizTnLg' 'MoeRwqNCsFZNsWJ4h' 'yCSKkMDoDLcMWTn8J'
 'rEwkb4GtWd7X3Wz6i' 'dWmTFRYnrLP3HWo3x' 'hi57MZzYhWiFd8dwm'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,dWmTFRYnrLP3HWo3x,25,131,5,3,"['u8Cp7vQsggGizTnLg' 'MoeRwqNCsFZNsWJ4h' 'yCSKkMDoDLcMWTn8J'
 'rEwkb4GtWd7X3Wz6i' '2wafkdLNrN7qhCDHa' 'hi57MZzYhWiFd8dwm'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,hi57MZzYhWiFd8dwm,6,27,2,0,"['u8Cp7vQsggGizTnLg' 'MoeRwqNCsFZNsWJ4h' 'yCSKkMDoDLcMWTn8J'
 'rEwkb4GtWd7X3Wz6i' '2wafkdLNrN7qhCDHa' 'dWmTFRYnrLP3HWo3x'
 'gAQPTZS95iDG6Xz9R']"
MCJpZhMZje6AraJNE,gAQPTZS95iDG6Xz9R,1,4,1,0,"['u8Cp7vQsggGizTnLg' 'MoeRwqNCsFZNsWJ4h' 'yCSKkMDoDLcMWTn8J'
 'rEwkb4GtWd7X3Wz6i' '2wafkdLNrN7qhCDHa' 'dWmTFRYnrLP3HWo3x'
 'hi57MZzYhWiFd8dwm']"
NyZRjkrspfCTqGNtG,LTnCkBYkuauXxmhFH,54,299,11,4,"['8oPqwJ2ZFPnmTY22M' '8SqDbojdpFXc8faYL' 'mT472aKkbWuHCh8yM'
 'nZdTRrbdsvjogLB94' 'ynwDGJvG4rQxhyfRn' 'rwZGz547XKmYRfK8M'
 'Hpk6W8L6TZQu9YmsJ']"
NyZRjkrspfCTqGNtG,8oPqwJ2ZFPnmTY22M,9,50,2,0,"['LTnCkBYkuauXxmhFH' '8SqDbojdpFXc8faYL' 'mT472aKkbWuHCh8yM'
 'nZdTRrbdsvjogLB94' 'ynwDGJvG4rQxhyfRn' 'rwZGz547XKmYRfK8M'
 'Hpk6W8L6TZQu9YmsJ']"
NyZRjkrspfCTqGNtG,8SqDbojdpFXc8faYL,5,27,2,0,"['LTnCkBYkuauXxmhFH' '8oPqwJ2ZFPnmTY22M' 'mT472aKkbWuHCh8yM'
 'nZdTRrbdsvjogLB94' 'ynwDGJvG4rQxhyfRn' 'rwZGz547XKmYRfK8M'
 'Hpk6W8L6TZQu9YmsJ']"
NyZRjkrspfCTqGNtG,mT472aKkbWuHCh8yM,93,500,9,0,"['LTnCkBYkuauXxmhFH' '8oPqwJ2ZFPnmTY22M' '8SqDbojdpFXc8faYL'
 'nZdTRrbdsvjogLB94' 'ynwDGJvG4rQxhyfRn' 'rwZGz547XKmYRfK8M'
 'Hpk6W8L6TZQu9YmsJ']"
NyZRjkrspfCTqGNtG,nZdTRrbdsvjogLB94,47,229,7,9,"['LTnCkBYkuauXxmhFH' '8oPqwJ2ZFPnmTY22M' '8SqDbojdpFXc8faYL'
 'mT472aKkbWuHCh8yM' 'ynwDGJvG4rQxhyfRn' 'rwZGz547XKmYRfK8M'
 'Hpk6W8L6TZQu9YmsJ']"
NyZRjkrspfCTqGNtG,ynwDGJvG4rQxhyfRn,16,91,2,2,"['LTnCkBYkuauXxmhFH' '8oPqwJ2ZFPnmTY22M' '8SqDbojdpFXc8faYL'
 'mT472aKkbWuHCh8yM' 'nZdTRrbdsvjogLB94' 'rwZGz547XKmYRfK8M'
 'Hpk6W8L6TZQu9YmsJ']"
NyZRjkrspfCTqGNtG,rwZGz547XKmYRfK8M,13,73,3,0,"['LTnCkBYkuauXxmhFH' '8oPqwJ2ZFPnmTY22M' '8SqDbojdpFXc8faYL'
 'mT472aKkbWuHCh8yM' 'nZdTRrbdsvjogLB94' 'ynwDGJvG4rQxhyfRn'
 'Hpk6W8L6TZQu9YmsJ']"
