conversation_num,discursive_diversity,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
52Mij6cYXKgENpfBz,0.3973721795158065,1,High,Low,Mixed,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],650.0,225.0,2.888888888888889,2021-03-18T18:22:58.677Z
DgevYRa8QQ7yoekme,,1,High,Low,Low,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],532.0,85.0,6.258823529411765,NULL_TIME
WabGxHpuDQcgtxF9E,,1,Low,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],525.0,339.0,1.5486725663716814,NULL_TIME
wEKhQZpv4DDApkS7G,0.8537949285691698,1,Mixed,High,Low,Low,Low,2,Easy [Corresponds to 'Hard' in PNAS],652.0,332.0,1.963855421686747,2021-03-18T18:11:21.626Z
LyF57Yw8c6uoMNYBL,,1,Low,High,Low,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],547.0,188.0,2.9095744680851063,NULL_TIME
P5NcamYQ2xLhteQ5J,,1,Low,High,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],486.0,51.0,9.529411764705882,NULL_TIME
jzFFXxc7vLTSx4vcf,0.25740362158337593,1,Mixed,Mixed,Low,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],655.0,203.0,3.226600985221675,2021-03-18T18:22:32.041Z
q2D4qXynxyvSeFpoH,,1,Low,High,Low,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],444.0,101.0,4.396039603960396,NULL_TIME
C8FgTa55coZKH6YRg,,1,Low,High,Mixed,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],503.0,33.0,15.242424242424242,NULL_TIME
jtHfPWktJTByAovPa,0.5797698513637196,1,Mixed,High,Low,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],672.0,156.0,4.307692307692308,2021-03-18T18:08:33.719Z
r8fpcKQMnNNXbZhsF,0.4516768532482078,1,Low,High,Mixed,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],626.0,490.0,1.2775510204081633,2021-03-18T18:24:20.771Z
xWY4qPNdF6JjQwtY3,0.48210611805670966,1,Low,High,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],524.0,242.0,2.165289256198347,2021-03-18T18:34:10.992Z
9Qw2wAWCJW9nu5GDw,,1,Mixed,High,Mixed,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],609.0,251.0,2.4262948207171315,NULL_TIME
28LFTFoBTha9WeCxT,,1,High,High,High,High,High,3,Easy [Corresponds to 'Hard' in PNAS],611.0,87.0,7.022988505747127,NULL_TIME
pvtG7HPqocwpxvifc,,1,High,High,High,High,High,3,Easy [Corresponds to 'Hard' in PNAS],532.0,66.0,8.06060606060606,NULL_TIME
yuXY8pFzXFJzoeH52,0.37861181551350026,1,High,High,High,Low,Mixed,4,Easy [Corresponds to 'Hard' in PNAS],636.0,202.0,3.1485148514851486,2021-03-19T18:13:24.992Z
bynTx6QZTzERZYtet,0.9023610589177359,1,High,Mixed,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],618.0,77.0,8.025974025974026,2021-03-19T18:15:53.615Z
Zz5jMDM5PtFM8W5iC,0.9359735891365539,1,High,Low,Mixed,Low,Low,2,Easy [Corresponds to 'Hard' in PNAS],448.0,105.0,4.266666666666667,2021-03-19T18:28:32.795Z
u96HFiAh7RnJxPgiR,,1,Mixed,Low,Low,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],474.0,53.0,8.943396226415095,NULL_TIME
P36ZM58eWWKqS8pNe,0.825470232605345,1,Mixed,Low,Mixed,High,High,2,Easy [Corresponds to 'Hard' in PNAS],581.0,168.0,3.458333333333333,NULL_TIME
CtQsxm8Ki5xK5qvr9,0.6271504889371999,1,Mixed,High,Low,Mixed,High,9,Easy [Corresponds to 'Hard' in PNAS],588.0,305.0,1.9278688524590164,2021-03-19T18:11:23.881Z
Biqb8KZ7HSf7sJd7G,0.839987426185588,1,Mixed,High,Mixed,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],505.0,79.0,6.39240506329114,2021-03-19T18:25:38.965Z
Pti4oRgjb4Gwx9ny4,0.5357863023371467,1,Mixed,High,High,High,Mixed,3,Easy [Corresponds to 'Hard' in PNAS],588.0,205.0,2.868292682926829,2021-03-19T18:51:10.888Z
6cSAzAQXhnFFsbe3c,0.5014101513481012,1,Mixed,High,High,High,High,10,Easy [Corresponds to 'Hard' in PNAS],599.0,282.0,2.124113475177305,2021-03-19T18:08:52.389Z
zXofkTp388eu67YxF,0.5240796323948269,1,Mixed,High,High,Low,High,10,Easy [Corresponds to 'Hard' in PNAS],602.0,491.0,1.2260692464358451,2021-03-19T18:12:57.599Z
XS9fXnBa4Am766ssL,0.4292975852170986,1,High,High,High,Mixed,High,6,Easy [Corresponds to 'Hard' in PNAS],520.0,135.0,3.851851851851852,2021-03-19T18:26:18.325Z
cwevFmGTFWo73cEee,,1,High,High,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],542.0,82.0,6.609756097560975,NULL_TIME
kMbPxZA66CAik5L2y,0.28785049907520355,1,Mixed,Mixed,Mixed,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],528.0,518.0,1.0193050193050193,2021-03-19T18:09:07.061Z
